a,b,c,alpha,phi1,PHI,phi2,GrainID
0.97138,0.38558,0.97138,172.64,29.344,104.25,119.86,212
0.47048,0.1825,0.47048,87.871,54.897,113.18,201.37,213
0.11776,0.10209,0.11776,180,55.158,112.59,200.69,214
0.49217,0.27897,0.49217,10.797,30.832,103.76,120.04,215
0.30265,0.15282,0.30265,123.71,54.843,112.33,199.89,216
0.080789,0.080789,0.080789,90,133.65,45.563,83.73,217
0.66453,0.25958,0.66453,56.279,212.16,46.592,163.14,218
0.14835,0.12472,0.14835,150,162.75,75.279,304.29,219
0.15751,0.15751,0.15751,179.98,90.983,163.59,99.598,220
0.16068,0.13477,0.16068,180,98.599,104.09,74.994,221
0.16068,0.13477,0.16068,180,270.25,65.292,140.15,222
0.16068,0.13477,0.16068,60,333.65,116.72,212.02,223
0.13768,0.10935,0.13768,180,349.04,91.357,196.87,224
0.15782,0.11486,0.15782,150,218.15,120.59,317.45,225
0.15751,0.15751,0.15751,89.97,225.43,135.9,290.01,226
0.16068,0.13477,0.16068,60,208.28,28.051,235.12,227
0.31936,0.16524,0.31936,117.72,122.81,104.41,102.03,228
0.15782,0.11486,0.15782,30,233.9,79.684,308.27,229
0.15558,0.096246,0.15558,78.436,78.611,146.04,277.33,230
0.79413,0.51895,0.79413,77.966,125.4,53.045,115.62,231
0.14835,0.12472,0.14835,90,157.04,108.87,268.95,232
0.16068,0.13477,0.16068,120,296.25,102.84,328.22,233
0.16068,0.13477,0.16068,60,65.974,94.757,244.83,234
0.11776,0.10209,0.11776,120,301.51,132.86,346.51,235
0.16068,0.13477,0.16068,60,223.75,144.95,325.19,236
0.30512,0.16051,0.30512,111.2,42.156,41.199,190.32,237
0.67277,0.20904,0.67277,90.982,55.287,67.582,92.079,238
0.15751,0.15751,0.15751,89.909,245.75,47.955,284.77,239
0.13768,0.10935,0.13768,120,47.967,75.669,70.012,240
0.14013,0.084933,0.14013,7.2553e-13,182.22,79.866,138.74,241
0.14835,0.12472,0.14835,150,288.8,118.26,164.04,242
0.30744,0.14854,0.30744,66.165,109.28,62.098,285.89,243
0.15558,0.096246,0.15558,78.436,141.21,148.3,117.71,244
0.72083,0.22965,0.72083,83.599,189.3,150.69,321.87,245
0.30016,0.11796,0.30016,48.813,110.04,61.756,286.15,246
0.30744,0.14854,0.30744,173.84,11.978,30.545,129.77,247
0.28655,0.16216,0.28655,52.996,187.24,78.902,137.9,248
0.26122,0.13564,0.26122,71.249,348.09,145.04,118.47,249
0.28545,0.16052,0.28545,115.06,139.42,113.29,75.098,250
0.25469,0.16755,0.25469,178.94,51.512,48.123,55.782,251
0.16068,0.13477,0.16068,180,82.33,115.97,209.03,252
0.31997,0.17479,0.31997,180,351.23,91.586,195,253
0.15782,0.11486,0.15782,90,285.6,137.08,207.71,254
0.15782,0.11486,0.15782,30,66.658,47.587,197.74,255
0.15782,0.11486,0.15782,90,326.73,103.84,53.85,256
0.15751,0.15751,0.15751,90,82.902,43.758,55.506,257
0.31795,0.15606,0.31795,120,321.48,68.466,206.79,258
0.080789,0.080789,0.080789,0.021127,222.08,35.796,219.8,259
0.14013,0.084933,0.14013,60,7.4889,81.608,97.615,260
0.16422,0.11267,0.16422,60,318.48,92.101,139.41,261
0.15558,0.096246,0.15558,78.436,307.53,21.682,236.33,262
0.15558,0.096246,0.15558,78.436,132.98,114.26,88.136,263
0.41105,0.21267,0.41105,90,52.198,71.328,182.23,264
0.15751,0.15751,0.15751,0,255.51,144.32,204.47,265
0.15558,0.096246,0.15558,78.436,179.63,119.6,117.71,266
0.16501,0.069365,0.16501,90,160.02,72.928,354.83,267
0.15558,0.096246,0.15558,78.436,118.77,46.215,16.936,268
0.15558,0.096246,0.15558,78.436,34.624,120.4,105.73,269
0.15782,0.11486,0.15782,90,140.46,81.023,312.48,270
2.3694,0.78842,2.3694,82.759,248.18,123.57,168.07,271
0.16068,0.13477,0.16068,120,315.82,29.359,140.14,272
0.15751,0.15751,0.15751,0.079906,110.03,50.948,315.15,273
0.15751,0.15751,0.15751,176.51,51.253,115.1,200.96,274
0.16068,0.13477,0.16068,120,52.574,123.37,228.3,275
0.15751,0.15751,0.15751,176.59,261.57,128.97,343.91,276
0.30512,0.16051,0.30512,68.801,230.13,140.58,159.03,277
0.15558,0.096246,0.15558,101.56,26.057,106.16,118.88,278
0.15751,0.15751,0.15751,177.21,156.77,77.853,307.3,279
0.15782,0.11486,0.15782,30,131.8,71.866,116.46,280
0.6799,0.35144,0.6799,17.17,51.014,112.74,198.95,281
0.27558,0.17869,0.27558,120,262.81,130.36,346.38,282
0.16422,0.11267,0.16422,60,9.0004,29.794,127.25,283
0.15782,0.11486,0.15782,150,156.86,79.018,306.17,284
0.27763,0.21493,0.27763,141.01,110.61,61.967,286.72,285
0.16068,0.13477,0.16068,60,112.56,61.376,287.33,286
0.16068,0.13477,0.16068,60,260.85,54.97,344.19,287
0.15782,0.11486,0.15782,90,235.32,66.223,159.25,288
0.49246,0.34199,0.49246,99.94,268,63.46,288.39,289
0.14835,0.12472,0.14835,30,132.95,12.99,95.833,290
0.11776,0.10209,0.11776,1.0338e-09,244.36,42.694,43.262,291
0.13768,0.10935,0.13768,60,347,162.09,314.63,292
0.30661,0.14944,0.30661,130.36,208.66,78.315,284.25,293
0.14835,0.12472,0.14835,150,130.44,170.68,130.64,294
0.14013,0.084933,0.14013,60,171.09,43.421,124.21,295
0.27558,0.17869,0.27558,60,166.49,75.185,66.79,296
0.16068,0.13477,0.16068,60,182.84,57.997,204.31,297
0.15782,0.11486,0.15782,90,136.45,66.885,52.201,298
0.15782,0.11486,0.15782,150,252.83,44.871,54.695,299
0.14835,0.12472,0.14835,150,253.2,44.73,142.85,300
0.16068,0.13477,0.16068,120,312.2,108.61,332.95,301
0.16068,0.13477,0.16068,60,325.14,32.88,237.65,302
0.15782,0.11486,0.15782,90,230.03,140.77,158.52,303
0.15751,0.15751,0.15751,6.6408e-06,26.596,106.72,119.51,304
0.15782,0.11486,0.15782,90,51.225,115.04,200.56,305
0.14835,0.12472,0.14835,90,322.77,33.161,239.2,306
0.30272,0.16391,0.30272,118.04,131.91,71.809,116.49,307
0.31982,0.14461,0.31982,121.99,323.23,32.675,238.99,308
0.15782,0.11486,0.15782,90,284.03,41.696,163.34,309
0.14013,0.084933,0.14013,60,283.39,41.501,164.53,310
0.16501,0.069365,0.16501,30,283.42,41.71,164.63,311
0.70987,0.29382,0.70987,53.355,338.23,101.51,144.03,312
0.30512,0.16051,0.30512,51.199,55.165,37.318,199.53,313
0.38467,0.20988,0.38467,81.608,86.615,49.371,104.31,314
0.56882,0.34181,0.56882,152.85,180.69,18.207,322.91,315
0.30005,0.15486,0.30005,60.765,70.208,100.3,38.178,316
0.16501,0.069365,0.16501,90,315.23,59.828,108.03,317
0.15558,0.096246,0.15558,101.56,175.54,46.294,119.07,318
0.15782,0.11486,0.15782,90,73.871,90.435,53.828,319
0.26122,0.13564,0.26122,131.25,231.09,105.73,119.91,320
0.080789,0.080789,0.080789,12.924,230.88,106.16,118.93,321
0.13768,0.10935,0.13768,180,310.88,55.433,281.87,322
0.15782,0.11486,0.15782,30,276.24,78.729,118.51,323
0.15558,0.096246,0.15558,138.44,338.13,162.22,304.68,324
0.14013,0.084933,0.14013,180,184.39,117.39,301.18,325
0.13768,0.10935,0.13768,120,223.09,53.804,178.73,326
0.14835,0.12472,0.14835,90,302.04,134.89,36.305,327
0.16068,0.13477,0.16068,120,191.88,123.12,301.41,328
0.16068,0.13477,0.16068,1.3284e-11,238.27,122.32,294.12,329
0.30512,0.16051,0.30512,171.2,108.26,111.26,55.708,330
0.080789,0.080789,0.080789,1.0672e-07,156.72,54.189,333.36,331
0.15782,0.11486,0.15782,90,107.31,61.272,289.04,332
0.080789,0.080789,0.080789,90,132.15,71.604,116.52,333
0.44173,0.16752,0.44173,126.53,156.74,77.777,306.94,334
0.70761,0.27819,0.70761,160.45,284.18,42.15,163.4,335
0.11776,0.10209,0.11776,5.305e-10,50.071,113.69,198.72,336
0.36179,0.21444,0.36179,38.672,321.13,31.638,241.52,337
0.14835,0.12472,0.14835,30,141.8,147.61,118.66,338
0.22819,0.15635,0.22819,60,337.54,101.93,143.89,339
0.11776,0.10209,0.11776,180,28.917,106.03,120.44,340
0.25859,0.13789,0.25859,121.43,160.33,78.069,306.32,341
0.34046,0.19969,0.34046,32.28,136.54,72.219,294.58,342
0.15558,0.096246,0.15558,78.436,93.391,28.595,30.041,343
0.15558,0.096246,0.15558,101.56,341.17,111.3,189.27,344
0.13768,0.10935,0.13768,120,4.3755,104.72,110.99,345
0.15558,0.096246,0.15558,101.56,48.21,77.93,170.46,346
0.16422,0.11267,0.16422,60,273.44,133.34,229.43,347
0.15782,0.11486,0.15782,150,350.48,125.65,168.06,348
0.16422,0.11267,0.16422,120,6.4438,159.9,225.99,349
0.16422,0.11267,0.16422,120,41.362,55.599,66.265,350
0.1256,0.071478,0.1256,30,31.275,147.13,10.534,351
0.15558,0.096246,0.15558,78.436,29.081,138.38,201.72,352
2.7933,1.4307,2.7933,116.48,65.003,155.5,179.66,353
0.16068,0.13477,0.16068,120,96.414,153,258.92,354
0.14835,0.12472,0.14835,30,337.82,150.19,65.594,355
0.16068,0.13477,0.16068,120,307.36,143.7,20.25,356
0.16068,0.13477,0.16068,120,253.69,49.091,137.52,357
0.16068,0.13477,0.16068,120,220.64,73.237,306.37,358
0.15751,0.15751,0.15751,3.017,311.96,109.24,333.67,359
0.13768,0.10935,0.13768,1.022e-10,256.79,54.424,343.24,360
0.14835,0.12472,0.14835,150,132.18,71.215,115.58,361
0.16422,0.11267,0.16422,120,26.28,105.62,119.16,362
0.70021,0.36243,0.70021,90.884,26.203,104.59,118.67,363
0.13768,0.10935,0.13768,120,50.21,113.12,199.09,364
0.15751,0.15751,0.15751,176.99,157.04,79.076,305.67,365
0.16068,0.13477,0.16068,60,263.5,130.18,347.01,366
0.15782,0.11486,0.15782,30,132.9,72.444,114.2,367
0.16501,0.069365,0.16501,150,321.67,32.142,241.56,368
0.15782,0.11486,0.15782,30,157.82,78.171,305.78,369
0.11776,0.10209,0.11776,60,133.32,71.423,114.96,370
0.16068,0.13477,0.16068,60,322.69,33.147,240.95,371
0.11776,0.10209,0.11776,1.2891e-08,28.358,105.82,120.69,372
0.16068,0.13477,0.16068,180,51.057,38.156,202.37,373
0.16068,0.13477,0.16068,120,29.287,106.09,120.43,374
0.15558,0.096246,0.15558,101.56,334.27,68.737,170.61,375
0.39364,0.20605,0.39364,91.858,54.275,113.35,109.89,376
0.25469,0.16755,0.25469,178.94,30.545,104.86,119.33,377
0.26092,0.14875,0.26092,55.345,267.86,74.266,106.06,378
0.15558,0.096246,0.15558,101.56,337.55,97.811,208.35,379
0.26462,0.16041,0.26462,60,232.34,103.82,122.26,380
0.080789,0.080789,0.080789,135.24,12.291,123.36,161.52,381
0.15558,0.096246,0.15558,41.564,21.16,110.07,159.16,382
0.080789,0.080789,0.080789,90,200.1,47.364,39.557,383
0.14013,0.084933,0.14013,60,87.849,62.078,77.604,384
0.15558,0.096246,0.15558,78.436,181.81,77.623,4.3469,385
0.14835,0.12472,0.14835,90,335.39,132.41,235.46,386
0.15782,0.11486,0.15782,90,148.98,58.122,82.954,387
0.13768,0.10935,0.13768,180,163.99,121.25,273.36,388
0.11776,0.10209,0.11776,1.2652e-09,254.25,59.62,209.57,389
0.14013,0.084933,0.14013,120,197.75,154.64,93.945,390
0.27496,0.15616,0.27496,2.8157e-11,65.091,97.522,74.589,391
0.65292,0.33423,0.65292,72.286,73.69,63.534,83.7,392
0.11776,0.10209,0.11776,120,142.96,70.32,5.9741,393
0.080789,0.080789,0.080789,2.8893,137.77,143.54,42.2,394
0.14835,0.12472,0.14835,150,26.423,55.354,120.48,395
0.14835,0.12472,0.14835,150,26.514,105.97,120.45,396
1.2239,0.46875,1.2239,84.112,285.33,42.644,161.76,397
0.53921,0.20159,0.53921,105.79,156.55,77.68,306.02,398
0.15782,0.11486,0.15782,30,50.379,113.06,199.49,399
0.15751,0.15751,0.15751,90.154,263.44,130.77,347.11,400
0.16068,0.13477,0.16068,60,26.496,103.98,118.72,401
0.90271,0.40811,0.90271,58.664,157.04,78.67,306.46,402
0.16422,0.11267,0.16422,60,133.7,72.131,114.83,403
0.16422,0.11267,0.16422,60,232.31,142.18,160.1,404
0.14835,0.12472,0.14835,30,133.84,71.585,115.02,405
0.15782,0.11486,0.15782,90,323.85,33.942,239.73,406
0.16068,0.13477,0.16068,120,52.986,114.61,201.4,407
0.15782,0.11486,0.15782,90,50.841,38.904,202.65,408
0.080789,0.080789,0.080789,89.998,60.359,110.02,123.75,409
0.15782,0.11486,0.15782,30,331.69,127.08,12.282,410
0.40228,0.1677,0.40228,87.241,52.908,76.086,57.212,411
0.13768,0.10935,0.13768,60,33.666,71.235,62.457,412
0.11776,0.10209,0.11776,120,96.337,138.09,222.49,413
0.15558,0.096246,0.15558,41.564,315.98,107.52,290.98,414
0.25469,0.16755,0.25469,61.057,173.01,19.959,266.73,415
0.11776,0.10209,0.11776,3.116e-09,274.75,32.92,138.09,416
0.16068,0.13477,0.16068,180,44.678,172.69,220.32,417
0.15782,0.11486,0.15782,90,6.7452,159.93,288.63,418
2.328,2.0093,2.328,111.84,202.82,81.367,98.671,419
0.27577,0.15423,0.27577,115.53,40.603,106.23,234,420
0.15751,0.15751,0.15751,90.087,6.9692,31.609,129.21,421
0.27321,0.16774,0.27321,7.4755,229.32,141.91,158.52,422
0.54238,0.18148,0.54238,102.91,26.342,105.51,120.18,423
0.14835,0.12472,0.14835,90,26.592,105.6,119.98,424
0.36299,0.18552,0.36299,93.068,50.425,113.38,199.81,425
0.14835,0.12472,0.14835,30,320.63,32.378,242.2,426
0.29978,0.26931,0.29978,60,132.89,72.167,294.95,427
0.16068,0.13477,0.16068,60,322.59,33.167,240.57,428
0.30512,0.16051,0.30512,68.801,27.993,105.54,119.6,429
0.3207,0.15405,0.3207,180,231.35,142.12,159.21,430
0.40945,0.17305,0.40945,5.5419,27.988,105.57,119.78,431
