a,b,c,alpha,phi1,PHI,phi2,volume,,total volume
9.506332183,3.544250624,3.544250624,0.442503444,25.80868645,118.8579352,13.01113808,500.2077824,,
7.318105642,3.96750566,3.96750566,1.06608472,291.6020262,56.4960223,111.9905605,482.5278603,,
11.84788358,3.109056263,3.109056263,0.017990524,142.0567805,176.5302631,207.7601426,479.7185915,,
8.24903137,3.666697117,3.666697117,2.63016765,198.4520055,73.88618372,113.1402575,464.5598135,,
6.402009201,4.160422927,4.160422927,2.617747628,112.4694718,87.00376604,4.467802625,464.1729899,,
8.825891458,3.533733437,3.533733437,0.695236541,259.4961452,45.16868822,205.2536052,461.6520445,,
6.492035862,4.085239166,4.085239166,1.526537743,221.4876737,56.26339442,80.34627393,453.8418004,,
9.766846489,3.308395047,3.308395047,3.087747689,275.4724618,124.0040219,326.741637,447.7934071,,
4.911434377,4.552949476,4.552949476,2.500418156,16.72355859,88.71665987,102.0819892,426.4642367,,
7.932303663,3.521689101,3.521689101,2.642033905,183.2212816,72.92882703,270.8986864,412.0879993,,
6.057245435,4.021901671,4.021901671,2.07059694,223.8410576,108.2016332,171.8018255,410.4182628,,
5.934783835,3.745179767,3.745179767,2.878393874,282.3372339,66.21237638,76.40197663,348.6894852,,
4.871096229,4.106445545,4.106445545,2.724231932,161.3212153,88.53414932,214.8716059,344.0705127,,
4.503469328,4.268400908,4.268400908,2.64808245,3.166893917,78.43725192,340.1057675,343.6894696,,
4.723158661,4.147339688,4.147339688,2.100552727,87.83213824,78.33814652,104.3720281,340.2987544,,
16.62000021,2.200079192,2.200079192,3.129674156,201.1965465,83.73140645,358.2393522,336.9738979,,
6.455716147,3.458633667,3.458633667,1.182885891,52.29266364,105.7201466,322.8112079,323.4760753,,
6.080950591,3.491809844,3.491809844,0.087701111,356.9318311,40.8170325,213.8783013,310.5712528,,
5.568659079,3.6204136,3.6204136,2.190838197,9.709578111,134.0199322,77.76651897,305.7423612,,
6.373501955,3.261981256,3.261981256,1.303791546,27.74851946,95.32162636,134.2125553,284.072802,,
6.554574747,3.18852111,3.18852111,2.902310722,269.8061559,49.479945,330.3192827,279.133347,,
4.939787131,3.621330789,3.621330789,0.628310812,55.99183502,44.7255059,211.3332789,271.3521318,,
4.743351516,3.693080046,3.693080046,2.164615245,9.150516015,82.73136817,319.6798353,270.9888121,,
6.481934525,3.149363546,3.149363546,2.831645258,26.12886232,95.65349623,102.7310962,269.3015428,,
7.25395288,2.916482573,2.916482573,1.500490948,221.0587305,24.77473633,70.45036428,258.4533174,,
7.581584315,2.847928968,2.847928968,0.240333479,8.675947797,39.11396251,202.8519576,257.5768838,,
7.786604808,2.720390263,2.720390263,0.855450142,64.4351042,59.2230065,351.8950999,241.3788236,,
4.877460498,3.427652762,3.427652762,1.449655846,340.8625731,16.9086042,334.2221516,240.0357943,,
5.155943667,3.3150965,3.3150965,0.839057648,110.2258008,36.94325868,173.389394,237.3499381,,
5.238633241,3.28263652,3.28263652,1.845966991,135.0838357,54.25091211,19.94758242,236.4570119,,
9.938642816,2.365328645,2.365328645,2.168567723,76.98568079,112.025096,87.08007763,232.9156522,,
6.651640266,2.879968638,2.879968638,0.31322289,175.3667277,104.932286,280.8189709,231.0962402,,
5.251420094,3.239003843,3.239003843,1.23510328,255.1222307,67.61790692,199.0227982,230.7747545,,
4.18605186,3.4723569,3.4723569,2.474461042,90.84494813,73.70950447,122.9037457,211.4179842,,
7.60883752,2.561145845,2.561145845,1.093502542,89.5464752,89.66293933,91.81994647,209.0622113,,
7.00688378,2.660438551,2.660438551,1.5273774,268.5819605,47.07979197,70.12647944,207.7399334,,
5.092133437,3.114997109,3.114997109,2.132890974,190.509931,149.9232378,238.4890826,206.9682277,,
4.873152203,3.17441134,3.17441134,0.371341534,46.49675584,47.62005395,218.8569049,205.6955939,,
17.25680784,1.672657283,1.672657283,3.078995067,293.8164186,142.6498414,224.7246374,202.2381128,,
4.268865997,3.321715816,3.321715816,1.539403494,8.937928828,176.7648865,76.02186251,197.2995434,,
4.373443764,3.07582938,3.07582938,0.633301621,92.14931121,33.13938932,179.0208399,173.315194,,
4.242791525,3.107480155,3.107480155,1.518154793,91.50973961,74.81965518,286.4565848,171.6157053,,
5.928154405,2.626144809,2.626144809,1.695450813,52.86018714,129.5959267,70.97039354,171.2558659,,
3.719437127,3.165292856,3.165292856,0.52574714,228.1079663,57.55655097,140.1245679,156.0966656,,
4.337512548,2.904392003,2.904392003,1.692559191,192.931358,21.93615774,161.6913663,153.2638808,,
7.202401864,2.195945983,2.195945983,1.176417538,302.1324764,98.33323267,55.2648513,145.4820007,,
4.1822525,2.79249919,2.79249919,2.198431364,29.27739757,168.961599,276.6431379,136.6107798,,
3.614902784,2.980938459,2.980938459,2.473061571,208.6853465,63.17499591,273.1797784,134.5523391,,
6.686179129,2.188224097,2.188224097,1.06897169,247.4110039,69.30785189,218.3559382,134.1066177,,
4.904048144,2.546441148,2.546441148,2.748092462,193.1908898,155.6515012,245.6418437,133.2019618,,
3.602428882,2.937380192,2.937380192,0.434051945,4.213262381,23.45296327,46.73425959,130.1980108,,
5.036462918,2.446353447,2.446353447,1.026466221,122.2883244,102.8263819,218.8846145,126.2561835,,
5.766624963,2.283209459,2.283209459,1.919799805,250.5962168,124.2377045,103.7116584,125.922062,,
5.812578488,2.252149644,2.252149644,0.811291716,319.4294803,95.0732701,204.6082978,123.495726,,
4.630131719,2.520492707,2.520492707,2.925944831,103.6530274,36.56280038,168.2628676,123.2119542,,
4.521993582,2.498240286,2.498240286,1.487486025,180.3813524,6.819798275,22.6111744,118.2189141,,
4.616650906,2.463346415,2.463346415,1.966072026,131.5196803,20.90915948,14.41152829,117.3455501,,
3.589816473,2.777191525,2.777191525,1.80495146,89.0916625,3.060744546,177.7410192,115.9771729,,
4.264727749,2.527163435,2.527163435,1.891513244,140.7489573,87.85550732,234.1497977,114.0897372,,
5.056344184,2.305189615,2.305189615,1.237944906,135.64099,13.7235882,4.188574366,112.5481982,,
4.655019047,2.3917893,2.3917893,2.177083662,187.5784888,150.0557548,235.8709556,111.54649,,
4.598439048,2.337416522,2.337416522,1.524068034,270.578322,164.8995253,94.04942393,105.2376794,,
4.042287176,2.474406646,2.474406646,0.609119629,65.92577372,116.4416649,99.91833038,103.671151,,
4.581050076,2.310496521,2.310496521,0.157563328,177.7594451,34.31249724,280.5235262,102.4387537,,
3.34078767,2.648096329,2.648096329,2.404800787,66.09870644,18.1797177,178.0712889,98.13073278,,
4.024157177,2.410252002,2.410252002,2.324754483,101.2861733,23.08572803,12.65743948,97.923843,,
4.135620872,2.355262743,2.355262743,3.141090844,6.433267177,68.10201791,264.8946916,96.09660664,,
3.366620544,2.524890016,2.524890016,2.476696949,199.6121044,102.4246067,180.1350129,89.90165954,,
3.068253662,2.614984098,2.614984098,0.816379736,90.31627663,150.722905,319.5867653,87.88565119,,
3.20117981,2.553197995,2.553197995,2.272283465,270.8918509,65.49750747,282.5139506,87.41131787,,
4.656462575,2.063367224,2.063367224,0.560590681,311.1504756,89.64003184,35.55600046,83.04199635,,
4.756712037,2.029050557,2.029050557,0.858968274,190.7051561,111.0927723,173.0629923,82.03160457,,
4.207313371,2.133099275,2.133099275,1.311082745,298.7777928,68.52845661,19.53155161,80.18914923,,
4.80812876,1.989035542,1.989035542,0.730973271,23.68063056,39.89690547,22.69555762,79.68008449,,
3.002148063,2.494249794,2.494249794,2.660187131,103.1175641,163.9023335,154.7237876,78.23491349,,
5.078987574,1.888997684,1.888997684,2.624015702,97.72555181,68.86173012,325.4824,75.91517729,,
