 ,Area,Aspect Ratio,Slope,Mean misorient. angle,Volumen,a_dia,c_dia,b_dia,a,c,b,,totalvol,boxsize
191,26.62,2.811,,,97.42927955,9.761,3.472,9.761,4.8805,1.736,4.8805,,,
192,70.688,1.817,,,338.9860878,12.789,7.037,12.789,6.3945,3.5185,6.3945,,,
193,65.346,1.182,,,243.0610398,9.919,8.388,9.919,4.9595,4.194,4.9595,,,
194,44.147,2.854,,,209.6946809,12.666,4.438,12.666,6.333,2.219,6.333,,,
195,12.707,1.678,,,24.83275478,5.211,3.105,5.211,2.6055,1.5525,2.6055,,,
196,1.667,1.153,,,0.976909507,1.564,1.356,1.564,0.782,0.678,0.782,,,
197,11.135,2.209,,,23.37044343,5.597,2.533,5.597,2.7985,1.2665,2.7985,,,
198,197.488,1.452,,,1415.247529,19.11,13.158,19.11,9.555,6.579,9.555,,,
199,92.867,2.711,,,623.5131172,17.903,6.605,17.903,8.9515,3.3025,8.9515,,,
200,87.87,4.138,,,708.9362661,21.515,5.2,21.515,10.7575,2.6,10.7575,,,
201,25.231,1.975,,,75.37522182,7.965,4.034,7.965,3.9825,2.017,3.9825,,,
202,54.8,2.431,,,267.6280135,13.024,5.357,13.024,6.512,2.6785,6.512,,,
203,3.391,2.385,,,4.079273909,3.209,1.345,3.209,1.6045,0.6725,1.6045,,,
204,35.493,2.354,,,137.2614734,10.314,4.381,10.314,5.157,2.1905,5.157,,,
205,67.44,1.285,,,265.5865392,10.502,8.176,10.502,5.251,4.088,5.251,,,
206,117.686,3.3,,,981.2753132,22.235,6.739,22.235,11.1175,3.3695,11.1175,,,
207,14.114,1.389,,,26.44273948,4.996,3.597,4.996,2.498,1.7985,2.498,,,
208,79.854,1.12,,,319.4930976,10.669,9.53,10.669,5.3345,4.765,5.3345,,,
209,53.68,2.1,,,241.1920197,11.981,5.705,11.981,5.9905,2.8525,5.9905,,,
210,42.581,1.745,,,155.2906261,9.725,5.575,9.725,4.8625,2.7875,4.8625,,,
211,93.028,1.552,,,472.8752731,13.556,8.737,13.556,6.778,4.3685,6.778,,,
212,22.264,3.3,,,80.75502264,9.672,2.931,9.672,4.836,1.4655,4.836,,,
213,17.49,1.727,,,40.68179228,6.202,3.591,6.202,3.101,1.7955,3.101,,,
214,46.705,1.526,,,166.8536219,9.526,6.243,9.526,4.763,3.1215,4.763,,,
215,36.04,1.268,,,103.1079164,7.629,6.015,7.629,3.8145,3.0075,3.8145,,,
216,59.632,1.953,,,272.2940923,12.177,6.235,12.177,6.0885,3.1175,6.0885,,,
217,148.179,1.405,,,904.6733317,16.281,11.588,16.281,8.1405,5.794,8.1405,,,
218,66.814,1.445,,,277.7385065,11.086,7.673,11.086,5.543,3.8365,5.543,,,
219,75.486,2.215,,,413.0274609,14.591,6.587,14.591,7.2955,3.2935,7.2955,,,
220,178.462,1.489,,,1231.167911,18.397,12.351,18.397,9.1985,6.1755,9.1985,,,
221,99.124,1.443,,,501.6696885,13.495,9.353,13.495,6.7475,4.6765,6.7475,,,
222,72.849,2.242,,,393.9106344,14.42,6.432,14.42,7.21,3.216,7.21,,,
223,81.286,1.572,,,388.8657881,12.757,8.113,12.757,6.3785,4.0565,6.3785,,,
224,87.54,1.38,,,407.096743,12.401,8.988,12.401,6.2005,4.494,6.2005,,,
225,70.849,1.278,,,285.2981353,10.738,8.401,10.738,5.369,4.2005,5.369,,,
226,40.142,1.909,,,148.6899484,9.877,5.175,9.877,4.9385,2.5875,4.9385,,,
227,62.98,1.459,,,255.4034611,10.815,7.414,10.815,5.4075,3.707,5.4075,,,
228,48.744,1.958,,,201.4787087,11.023,5.63,11.023,5.5115,2.815,5.5115,,,
