,a,b,c,alpha,phi1,PHI,phi2,volume,,total volume
126,4.000369019,1.572617204,1.572617204,1.351658588,29.41235884,114.3224129,23.27346166,41.44142776,,
127,1.007668753,0.677047104,0.677047104,3.018873663,267.6412683,150.0146244,101.5289133,1.934836049,,
128,5.251420094,3.239003843,3.239003843,1.23510328,255.1222307,67.61790692,199.0227982,230.7747545,,
130,2.776191647,1.616363955,1.616363955,1.154302117,18.19628079,70.11173534,359.9613398,30.3820005,,
131,1.444223882,0.775424104,0.775424104,1.534263403,3.968051137,28.87316179,41.79545473,3.637489313,,
132,4.503469328,4.268400908,4.268400908,2.64808245,3.166893917,78.43725192,340.1057675,343.6894696,,
133,9.967489477,3.767407935,3.767407935,0.678721304,104.6829132,127.10138,194.4316941,592.5973316,,
134,4.18605186,3.4723569,3.4723569,2.474461042,90.84494813,73.70950447,122.9037457,211.4179842,,
135,3.16948882,1.463104801,1.463104801,0.885315459,314.8936228,118.1298852,253.2381744,28.42030304,,
136,4.877460498,3.427652762,3.427652762,1.449655846,340.8625731,16.9086042,334.2221516,240.0357943,,
137,1.803829938,1.322460536,1.322460536,0.724945426,267.9995726,28.76794652,264.2892077,13.21446673,,
138,1.144966883,0.865009555,0.865009555,0.301283621,314.0237183,117.755853,253.4749396,3.588585879,,
139,1.215857416,0.798964087,0.798964087,3.033515688,132.8177264,88.76613699,295.9265893,3.25106591,,
140,2.787292819,2.040007387,2.040007387,1.988100636,260.1804117,69.30265135,197.1059731,48.58863349,,
141,3.021013156,1.718816161,1.718816161,0.86718465,44.60639845,124.4307142,205.6837294,37.38523221,,
142,3.173990348,0.976097616,0.976097616,1.537567249,216.9098983,61.16465063,269.7995179,12.66720254,,
143,3.20117981,2.553197995,2.553197995,2.272283465,270.8918509,65.49750747,282.5139506,87.41131787,,
144,4.328521658,1.357432776,1.357432776,1.288128957,1.68990591,13.5396993,44.53175624,33.40910694,,
145,3.509089977,1.509014895,1.509014895,2.80614728,222.7759929,61.17931306,80.29813029,33.47111396,,
146,1.383488297,0.877590578,0.877590578,1.741680153,135.5936603,55.02860554,19.70700254,4.463217006,,
147,2.610342019,1.590170898,1.590170898,1.520911213,17.92532394,74.81974218,325.6399668,27.64863057,,
148,4.904048144,2.546441148,2.546441148,2.748092462,193.1908898,155.6515012,245.6418437,133.2019618,,
150,2.892303616,1.323494765,1.323494765,2.586181857,223.1910265,57.59601487,80.57228143,21.22154238,,
151,1.986856788,1.641632935,1.641632935,2.095382486,209.5961071,105.4950323,305.7828828,22.42886447,,
152,5.092133437,3.114997109,3.114997109,2.132890974,190.509931,149.9232378,238.4890826,206.9682277,,
153,2.132490165,0.719196279,0.719196279,1.361970724,207.1400678,112.7583412,196.1815463,4.620303552,,
