F11	F22	F33	F12	F23	F31	F21	F32	F13	time
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.00000143051	0.999999523163	0.999999523163	-5.20117566793e-08	-1.67679945662e-06	8.9866797337e-10	5.23376435524e-08	1.6764955717e-06	-8.32896085434e-10	0.000100002675026
1.00000989437	0.99999666214	0.99999666214	-3.53263459374e-07	-1.34053525471e-05	5.1800044254e-09	3.54840352657e-07	1.34038855322e-05	-4.70091565674e-09	0.000200003560167
1.00002992153	0.999989807606	0.999989807606	-1.06317202153e-06	-4.52359745395e-05	1.39008449196e-08	1.06705897451e-06	4.52323511126e-05	-1.24062076168e-08	0.000300004321616
1.00006735325	0.999977052212	0.999977111816	-2.38928350882e-06	-0.000107119798486	3.01035285588e-08	2.39742121266e-06	0.000107112333353	-2.65375792452e-08	0.000400004559197
1.00012874603	0.999956190586	0.999956250191	-4.55961117041e-06	-0.000206945813261	5.72039198232e-08	4.57527266917e-06	0.000206932090805	-4.98919625613e-08	0.00050000322517
1.00021779537	0.999925851822	0.999925911427	-7.70969108999e-06	-0.000353247654857	9.63299342516e-08	7.7367421909e-06	0.000353225099389	-8.27795219038e-08	0.000600005500019
1.0003387928	0.999884665012	0.999884724617	-1.19777178043e-05	-0.000553933088668	1.48996051053e-07	1.20211407193e-05	0.000553898862563	-1.25463330392e-07	0.000700002769008
1.00049698353	0.999830663204	0.999830782413	-1.75575623871e-05	-0.000814952421933	2.18197897084e-07	1.76246103365e-05	0.000814902945422	-1.79034643111e-07	0.000800006673671
1.00069606304	0.999762713909	0.999762833118	-2.45693900069e-05	-0.00114272313658	3.05276415702e-07	2.46694708039e-05	0.00114265456796	-2.42316474441e-07	0.000900001323316
1.00094246864	0.999678432941	0.99967867136	-3.32448835252e-05	-0.00153831590433	4.17331250446e-07	3.33912939823e-05	0.00153822265565	-3.18727586546e-07	0.00100000505336
1.00124454498	0.999574959278	0.999575316906	-4.38748720626e-05	-0.00202301517129	5.50671757082e-07	4.40879412054e-05	0.0020228929352	-3.98759311793e-07	0.00110000139102
1.00159776211	0.999453663826	0.999454081059	-5.62374370929e-05	-0.00260925665498	6.92138428349e-07	5.65390982956e-05	0.00260910019279	-4.65108882963e-07	0.00120000145398
1.00202775002	0.999288737774	0.999289989471	-7.16850481695e-05	-0.00334510323592	1.15160526093e-06	7.20738462405e-05	0.00334937660955	-7.51388881781e-07	0.00130000140052
1.00265109539	0.998995840549	0.998998582363	-9.3838039902e-05	-0.00438137864694	2.69662973551e-06	9.46314903558e-05	0.00438569439575	-1.90837249647e-06	0.00140000635292
1.00346183777	0.998607575893	0.998613536358	-0.000122546829516	-0.00569597817957	4.78284937344e-06	0.00012391639757	0.00570085644722	-3.38070367434e-06	0.00150000595022
1.00451612473	0.998090386391	0.99810230732	-0.000159798189998	-0.00735851470381	8.99120823306e-06	0.000162223863299	0.00736285466701	-6.4955106609e-06	0.00160000112373
1.00566089153	0.997521996498	0.997541666031	-0.000199279282242	-0.00920816231519	1.20774448078e-05	0.000202789509785	0.00921176560223	-8.4129806055e-06	0.00170000281651
1.0070296526	0.996835589409	0.996866643429	-0.00024690158898	-0.0112832253799	1.83196007129e-05	0.000252222409472	0.0112856449559	-1.27232524392e-05	0.00180000078399
1.00861656666	0.996034860611	0.996080875397	-0.000301960826619	-0.0135962981731	2.46618437814e-05	0.000309473951347	0.0135971037671	-1.67208527273e-05	0.00190000340808
1.01033449173	0.995159804821	0.99522382021	-0.000360546429874	-0.0160798858851	3.15408069582e-05	0.000370695313904	0.0160784050822	-2.07495540963e-05	0.00200000335462
1.01209878922	0.994253575802	0.994337677956	-0.000420376600232	-0.0186595041305	3.78221338906e-05	0.000433474109741	0.0186557918787	-2.38786706177e-05	0.0021000020206
1.01411879063	0.993209123611	0.993318617344	-0.000488327175844	-0.0214895028621	4.61408344563e-05	0.000505212519784	0.0214828103781	-2.80916574411e-05	0.00220000254922
1.01643705368	0.992005228996	0.992147028446	-0.000565061520319	-0.0245140828192	5.73864926992e-05	0.000586840556934	0.0245032738894	-3.40900187439e-05	0.00230000470765
1.01889359951	0.99072021246	0.990900218487	-0.00064577156445	-0.0276874285191	7.07822764525e-05	0.000673334638122	0.0276714898646	-4.11975743191e-05	0.00240000500344
1.0215318203	0.989329576492	0.989554166794	-0.000730285246391	-0.0310673452914	8.42684385134e-05	0.000764490978327	0.0310453455895	-4.75141896459e-05	0.00250000273809
1.02463841438	0.987693309784	0.987975478172	-0.000826837960631	-0.0346377305686	0.000102430974948	0.000869683572091	0.0346070639789	-5.65104710404e-05	0.00260000629351
1.02808761597	0.985872924328	0.98622494936	-0.000929773435928	-0.0383655764163	0.000122878860566	0.000982951489277	0.0383237153292	-6.61709564156e-05	0.00270000379533
1.03155255318	0.984031260014	0.984458148479	-0.00103269284591	-0.0421705469489	0.000142067932757	0.00109712197445	0.0421163849533	-7.37204391044e-05	0.00280000269413
1.03529262543	0.982034444809	0.982548058033	-0.0011456530774	-0.0462055727839	0.000164632700034	0.00122353015468	0.0461367443204	-8.22960428195e-05	0.00290000322275
1.03979361057	0.979640126228	0.980268239975	-0.00128180405591	-0.0505658499897	0.000196723747649	0.00137776474003	0.0504766851664	-9.59144308581e-05	0.00300000421703
1.04457938671	0.977091431618	0.977851808071	-0.00142477918416	-0.0550095885992	0.000232131744269	0.00154178892262	0.0548959001899	-0.000110113818664	0.00310000171885
1.04929065704	0.974565505981	0.975464165211	-0.00156365148723	-0.0594853796065	0.000264690548647	0.00170300772879	0.0593455992639	-0.000120390242955	0.00320000271313
1.05451595783	0.971769750118	0.972831428051	-0.00171577581204	-0.0641511008143	0.000303088832879	0.00188205903396	0.0639795437455	-0.000132408735226	0.00330000277609
1.06039893627	0.96863669157	0.969894230366	-0.00188418163452	-0.0690044686198	0.000348701025359	0.00208335090429	0.0687929317355	-0.000146548583871	0.00340000563301
1.06678032875	0.965251147747	0.966734707355	-0.00206427415833	-0.0739485472441	0.000400777673349	0.00230214302428	0.0736889988184	-0.000162245254614	0.00350000453182
1.0730009079	0.961943805218	0.963656723499	-0.00223546708003	-0.0787750557065	0.000446578749688	0.00251360214315	0.0784647911787	-0.000171356616192	0.00360000063665
1.07956600189	0.958459854126	0.960423827171	-0.00241197855212	-0.0837134644389	0.000494642998092	0.00273565365933	0.0833445712924	-0.000178859918378	0.00370000023395
1.08691215515	0.954588770866	0.956845641136	-0.00260702357627	-0.0888618379831	0.000552801822778	0.00298537570052	0.088421203196	-0.000188971258467	0.00380000262521
1.09468996525	0.950514435768	0.953094363213	-0.00280843186192	-0.0940234363079	0.000614799617324	0.00324856792577	0.0935005694628	-0.000198193418328	0.00390000478365
1.1025660038	0.946401417255	0.949317991734	-0.00300767994486	-0.0991260260344	0.000675030052662	0.00351516460069	0.0985146313906	-0.00020248828514	0.00400000624359
1.11045753956	0.942287743092	0.94554901123	-0.00320414314047	-0.104186423123	0.000730287167244	0.00378314731643	0.103481739759	-0.000200632901397	0.00410000095144
1.11878597736	0.937973022461	0.941606342793	-0.00340647995472	-0.109307378531	0.000789504148997	0.00406560720876	0.108498498797	-0.00019689075998	0.00420000310987
1.12781333923	0.933340072632	0.937388122082	-0.00362401991151	-0.114518135786	0.000859025167301	0.00437567988411	0.113589048386	-0.000194934429601	0.00430000061169
1.13694059849	0.928683757782	0.93315911293	-0.0038404087536	-0.11963006109	0.000924891210161	0.00469143874943	0.118573486805	-0.000186476696399	0.0044000018388
1.14592850208	0.924112856388	0.929014444351	-0.00405036425218	-0.124621897936	0.000985980615951	0.00500506069511	0.123433999717	-0.000172472558916	0.00450000539422
1.1552567482	0.91939842701	0.924749314785	-0.00426628161222	-0.129642531276	0.00105291663203	0.00533408438787	0.128311276436	-0.000157840724569	0.00460000522435
1.16546487808	0.914301037788	0.920151114464	-0.00449707452208	-0.134793847799	0.00113841355778	0.0056947087869	0.133296728134	-0.000149024373968	0.00470000039786
1.1760879755	0.909057438374	0.915436387062	-0.00473273498937	-0.139855369925	0.00123268319294	0.00607248349115	0.138177871704	-0.000141368363984	0.0048000048846
1.18696844578	0.903744637966	0.910674095154	-0.00497048068792	-0.144793614745	0.00133237813134	0.00646295631304	0.14292447269	-0.000132747576572	0.00490000098944
