Area,Aspect Ratio,Slope,Mean misorient. angle,volume,a,c
0.261393785,1.84099865,98.71786499,1.490044117,0.074093474,0.391380727,0.212591529
0.368062854,3.823275089,5.300388336,1.064676285,0.085907095,0.669273794,0.175052494
0.300759614,1.892857432,36.56955719,0.660304725,0.090184957,0.425690323,0.224892959
0.365885973,3.327440739,8.225762367,2.022668839,0.09126984,0.622519732,0.187086642
0.337987602,1.466504335,35.31578827,1.332620025,0.122059969,0.397207201,0.270853072
0.464862049,2.909029961,8.003890991,0.698392987,0.139789901,0.656086683,0.225534499
0.466138661,2.861874104,8.310743332,0.217639059,0.141517853,0.651640236,0.22769703
