Area_ellipse,AR,slope,phi1,PHI,phi2
12.246325564064447,2.3395842420082444,66.6,99.7,86.897,189.66
13.289018593493207,5.473376351777072,10.9,244.398,121.46600000000001,195.88
2.547357815433415,1.923910198834348,163.9,12.022,100.727,178.62
16.17508826810572,5.306681258861028,171.9,321.437,105.50299999999999,78.2
7.516033796445212,3.595715104124333,115.8,43.861999999999995,12.305,9.85
206.21675909789144,1.7088403561144938,52.5,131.594,125.044,325.53
3.239621834845518,2.5528260260044804,166.1,187.072,107.39200000000001,329.89
1.6312643279347874,4.00096765973464,8.6,159.43,126.34100000000001,317.11
0.9269170553208683,4.880556222114668,180.0,288.127,15.349,217.2
6.204714064873975,2.8519180278600684,168.4,272.779,123.176,38.26
18.34418184097025,3.310055346455561,162.8,155.266,160.627,21.09
6.339881492197163,3.1701994856188866,156.8,85.492,50.263999999999996,237.76
33.7988275526827,5.298241945172718,6.6,161.097,56.75,301.65
15.138877951240305,4.8202175787656385,18.3,265.505,69.547,47.0
78.91833011619545,3.120920507548764,169.3,257.883,118.72,21.46
1.15719504237144,2.9931559936864907,21.8,114.60600000000001,52.748000000000005,14.17
137.98679319755502,1.9601027939853055,113.8,259.738,126.338,219.67
3.4306733657599127,4.100293682000293,172.9,14.508,19.548,49.17
96.96965520862861,3.5757514079912163,58.1,124.994,169.42,246.96
424.88724007242956,2.646397587294127,17.2,79.508,55.351000000000006,316.45
6.901013367384883,20.742133664630472,180.0,237.687,11.919,73.21
6.733415609609627,1.8931149562371776,38.6,287.106,64.844,42.29
1.1785891164130111,2.4790088217496566,21.1,350.14300000000003,140.62,326.3
39.944301195428814,4.555653057730732,5.6,265.797,56.798,41.34
2.211896431566923,3.877542639080836,3.0,39.376,100.529,353.19
3.2913013223820804,1.0308898539626108,30.0,323.015,127.115,45.03
4.67640925251759,2.030524504735379,34.9,35.497,103.569,350.54
45.41834328346475,4.787335076557624,147.9,322.881,125.331,48.85
35.38437152623869,3.5845224408191725,21.2,272.705,115.14,159.65
0.8581468180582699,1.7297917096038653,169.1,158.344,162.639,328.67
13.9037074492893,3.3622307698341927,38.9,300.173,133.75,324.54
2.7823995055897224,3.0740237792851306,180.0,271.522,128.977,145.54
49.02663724785903,7.774741912214155,168.7,320.117,1.183,1.68
3.9185955239461165,2.4232197840780527,7.2,245.645,22.884,218.39
7.0032777156279185,1.7663393005765473,139.1,291.865,124.542,325.16
1.9068449865205872,3.9047303571387815,13.0,43.44,77.656,350.77
14.775597629626818,1.9726138912922961,24.3,61.126000000000005,5.107,210.26
115.40348685177159,4.293190889278236,172.5,227.71,115.23299999999999,12.65
1.9549212558252231,5.206314358440357,180.0,147.756,103.198,339.31
69.44480495197907,5.6222615147505,174.7,337.241,48.31399999999999,49.82
3.416259249534974,1.9104706384004133,111.4,2.75,47.833999999999996,323.03
10.719387962700212,2.2772002460625496,156.2,340.662,142.534,45.72
6.457134700167744,2.4119781571264327,12.4,331.86300000000006,92.866,347.4
3.8420244772607273,4.5439067088212814,170.5,242.928,121.289,337.23
7.0247870320989945,2.5994377850213435,38.9,237.548,81.52,4.08
362.17906648213506,7.146999916340662,171.0,120.41799999999999,121.056,57.88
155.86070590604982,2.6913282120868685,131.5,168.03900000000002,111.193,311.37
29.162395506447524,5.366841652245057,2.8,288.72700000000003,57.239,207.01
240.99261828819795,2.4700701713775075,83.7,318.482,14.277999999999999,351.43
17.104157528311934,13.438347153297839,1.7,267.645,59.313,328.54
376.6777281471244,2.3859327791738507,23.4,121.594,51.047,51.85
3.5959893144999295,4.1473186940113695,3.4,216.801,33.309,42.51
1.4464956958916055,2.8503486057015976,10.9,219.05,35.685,40.2
1.9223773171546579,3.3458708064257023,5.2,345.35400000000004,112.038,330.8
54.47355926983766,4.606599811557659,3.1,4.523,26.107,314.76
12.560655810166915,3.128680841577853,12.7,5.3660000000000005,137.85399999999998,46.77
2.830423028770758,3.4711178545421,12.7,235.96099999999998,117.484,214.56
44.680340743134096,2.950796665755671,174.6,318.259,104.167,330.08
83.48353763949544,1.9358825321911235,19.8,144.923,83.21700000000001,273.73
78.49918443864978,3.722899881460563,9.0,29.503,46.398,43.64
10.215335244707154,2.6315896954256273,22.6,167.158,6.215,312.45
1.3073819392974033,1.6400508764817963,24.8,73.833,51.902,245.42
1.0964966470838236,2.084214724283186,14.7,85.431,168.99200000000002,41.0
26.09580198597676,2.5904754086550947,166.0,212.62400000000002,74.885,63.21
30.0806993820338,4.827151815687678,149.4,46.911,82.321,9.05
17.584299782219674,2.4454273250049576,144.2,288.98,61.172,212.66
4.265706692620922,2.2260005090828265,112.8,286.868,64.12,33.69
183.00402467344531,1.9646109327392487,28.8,294.256,108.29700000000001,66.37
7.6383958753921135,4.130382477651049,6.3,101.292,98.603,20.12
1.0821551833784704,3.5490311381366424,161.7,246.101,112.464,99.19
9.7554190910192,5.161011065824478,173.2,14.515999999999998,159.961,315.82
6.798475098186248,2.4364367348974314,18.7,246.71099999999998,113.012,100.08
2.5401225332434354,2.402460419982742,74.4,12.886,111.777,171.29
88.61335255542043,5.569269161006398,2.2,37.045,54.122,147.26
8.313379833262163,3.2338413724495925,97.4,236.312,140.006,66.43
2.0590758653520456,3.53560047938015,9.8,292.259,99.57799999999999,66.07
29.002439427745646,4.143807069155304,16.7,265.927,125.07799999999999,340.75
12.395435715264696,6.286112750594883,29.1,293.195,127.884,30.94
12.20806221779198,2.121096598452492,14.9,21.67,17.835,28.97
15.324220345897619,2.8781004892264934,16.1,23.89,154.752,330.63
9.987553292844886,3.8241408242165007,41.2,257.781,107.53299999999999,317.4
1.6222038710534237,1.9318017102666483,12.5,191.69099999999997,67.21300000000001,63.41
4.844162707724661,4.96569358993961,12.7,38.23,154.222,357.95
48.264763260853876,9.823377246466626,8.5,272.05400000000003,122.314,70.69
1.4202135993356424,2.903324477891765,49.1,195.28099999999998,76.196,61.19
14.968495919495037,1.7960784385957482,142.6,334.876,14.587,347.28
18.646432026019323,2.7306787057774984,78.2,7.6579999999999995,128.987,328.41
6.465149339818386,2.321538349117145,125.7,347.398,129.17,34.42
39.7578598525428,2.2407597540254476,73.6,121.009,135.211,329.93
20.446991157604305,6.484866028693807,6.9,34.817,61.175,343.0
13.868593385337338,4.0027490630142,44.5,91.646,123.03299999999999,204.54
65.41550312679023,2.0599456994902092,138.1,302.45,100.12,334.26
32.01295439233488,5.275843360793571,169.1,55.668,94.16,1.48
2.729577471977194,2.5982544191597134,56.7,251.268,132.662,161.51
4.450047066630921,3.2775065868442,20.0,46.886,49.695,149.44
3.815026343004733,3.39044803951383,3.7,195.078,73.2,53.07
1.0216291250784277,2.85981451420146,21.1,78.59100000000001,123.208,11.56
321.6672199692239,2.269011355052997,2.8,352.11400000000003,116.74600000000001,43.04
75.5628373140263,1.8094833724460184,47.9,354.74199999999996,64.057,45.04
77.98335056821762,2.634415065081451,7.1,51.168,49.248000000000005,215.95
143.4303246279911,2.9813154469159673,8.1,4.643,49.628,312.26
87.80380031584217,5.123668360620853,4.8,32.854,80.384,343.64
25.64234186952703,2.432267855242005,43.6,167.354,133.72899999999998,314.25
2.779542060170717,1.6869362104505012,157.1,80.081,84.34100000000001,192.12
3.7022133932534147,3.4431378461229207,21.4,200.685,93.007,17.48
132.456126971582,2.8475817804705064,151.2,228.245,56.2,316.57
56.21902011500035,2.7626579020781192,39.8,346.348,125.13,36.91
2.243673613007526,2.5623669828897095,56.3,325.013,158.97299999999998,26.85
56.07106208538135,4.609154426767177,172.9,150.356,64.351,304.38
1.5531034217053319,2.0177236727296455,72.5,346.94800000000004,88.464,341.99
28.103864872565634,2.3650770471918867,75.8,184.132,152.806,135.42
61.22506038037538,1.4896327439243378,145.2,234.28799999999998,119.141,118.44
53.17304418395378,4.0209703362155516,180.0,151.338,155.923,299.78
3.795997093863215,1.9613809277974863,47.0,211.43,50.208,43.92
5.7967227038390385,2.6867929619226945,47.6,244.872,48.685,263.17
11.9043833616028,3.7071569589403133,48.7,49.42,76.83800000000001,344.33
4.455745181924621,4.669391849092947,7.7,322.193,160.317,18.04
