Area_ellipse,AR,slope,phi1,PHI,phi2
45.6248792306739,6.8576426229665906,1.7,277.033,41.342,160.7
661.8366319216696,3.2376756885752447,22.2,346.95,45.992,335.08
8.22848161080263,5.156379304103467,158.2,167.623,83.90299999999999,60.65
495.962119034521,4.532944841568732,32.9,128.717,96.37799999999999,332.61
20.839590173620554,3.936579139145802,44.0,97.821,153.188,318.87
8.593616792539622,5.474677751171871,18.3,327.132,128.582,351.27
32.15699550089639,2.392865379622319,17.3,340.659,39.342,349.18
1.445028135775894,3.9622547367951455,180.0,256.45099999999996,109.32700000000001,152.9
4.95572945816921,4.141155163354363,31.7,327.358,128.385,351.37
37.25695370659182,4.54644644985527,20.0,181.19400000000002,79.001,61.14
3.3069496176515654,3.1652701914638337,69.6,201.23,127.088,336.21
10.806915302711616,2.011839894525368,123.8,349.027,91.052,0.66
45.62617661883217,2.7810119226302428,74.6,138.345,94.20200000000001,337.53
26.730075223197,2.9864400031755323,10.9,129.209,80.23899999999999,34.36
2.1881429647728243,3.739197849451902,57.7,303.89,100.86399999999999,58.84
10.895433099126302,2.9307996870785695,58.8,43.831,124.38600000000001,18.48
1.1463666598542228,2.1941108806386898,44.6,328.029,126.53200000000001,351.11
8.07978591612769,2.1747244097384417,49.5,51.812,68.278,331.17
409.8926133790754,3.248534077520124,164.9,308.014,61.203,29.18
44.44034312560522,7.644850373047374,171.1,111.016,36.419000000000004,56.24
9.245462355990947,2.963252922342337,145.6,255.497,105.411,154.22
32.584759218839416,7.793360834715193,157.2,302.655,133.576,46.11
12.263258581771245,3.34362005280952,64.8,83.321,9.318,58.79
81.5491004650796,4.485056849191791,9.2,11.395,134.02100000000002,319.4
2.0328934912334864,1.611058839530948,77.3,345.967,62.583,337.44
17.224338150437863,2.119973236610377,154.4,319.23400000000004,89.90799999999999,345.03
1.732359278558846,2.5740019483663477,151.8,70.08,56.79600000000001,290.36
85.32564671138724,5.800697649269492,42.9,326.177,146.629,353.13
13.387125097440332,4.44895642855216,77.1,326.48,25.989,7.45
110.22950032045452,4.5276727051968715,163.9,13.800999999999998,39.411,300.06
13.739801979680745,3.4010132319807402,32.2,280.449,156.03,282.9
173.91876268629417,11.922355652432582,28.2,3.2430000000000003,74.186,29.09
18.192232681712046,7.002956642724818,12.2,240.47099999999998,115.59,230.46
2.368274596529601,2.5544040201330636,146.9,23.017,122.184,347.53
14.710558969545595,2.1410767029471587,37.5,346.48400000000004,71.036,351.68
1.8576313654046694,1.8677044876170785,2.4,201.123,88.948,333.52
109.88198410252554,2.486365274870129,164.0,127.19200000000001,78.194,307.38
231.77726944192835,3.2842812187142965,17.9,301.389,21.601999999999997,227.07
30.415155422920094,4.316505166837159,42.1,128.246,105.51100000000001,48.03
5.540305705066739,2.686715482204431,35.9,29.045,60.815,176.96
98.2239628315765,4.10992319472805,171.5,185.77900000000002,74.017,51.46
14.175230446527586,6.635051515388162,74.9,174.842,90.959,55.0
